"Time","Signal"
0,0.069692
1,0.068977
2,0.06971
3,0.070021
4,0.069272
5,0.069018
6,0.069988
7,0.068621
8,0.069361
9,0.069647
10,0.068878
11,0.07025
12,0.070593
13,0.070021
14,0.07012
15,0.069914
16,0.069267
17,0.070639
18,0.073358
19,0.079527
20,0.091862
21,0.099114
22,0.096774
23,0.096695
24,0.100246
25,0.105154
26,0.105406
27,0.106701
28,0.108086
29,0.108396
30,0.109302
31,0.110435
32,0.114309
33,0.113655
34,0.116755
35,0.119657
36,0.123113
37,0.126717
38,0.132834
39,0.1374
40,0.14202
41,0.148396
42,0.155294
43,0.163932
44,0.171556
45,0.180523
46,0.188573
47,0.198434
48,0.211713
49,0.226328
50,0.239772
51,0.253173
52,0.267478
53,0.284501
54,0.303217
55,0.323986
56,0.344255
57,0.360557
58,0.381584
59,0.402097
60,0.426544
61,0.450475
62,0.474246
63,0.495494
64,0.518295
65,0.542117
66,0.565765
67,0.592366
68,0.618196
69,0.642035
70,0.6683
71,0.694387
72,0.723139
73,0.752922
74,0.778563
75,0.798531
76,0.820314
77,0.837512
78,0.850888
79,0.857022
80,0.855327
81,0.843326
82,0.826025
83,0.799997
84,0.767213
85,0.730462
86,0.693331
87,0.65678
88,0.618809
89,0.579904
90,0.54314
91,0.507796
92,0.479245
93,0.454085
94,0.428438
95,0.403026
96,0.379986
97,0.358144
98,0.342399
99,0.327667
100,0.313576
101,0.297258
102,0.282981
103,0.272118
104,0.264701
105,0.257427
106,0.24862
107,0.241091
108,0.232694
109,0.227914
110,0.225648
111,0.221525
112,0.21958
113,0.21631
114,0.213813
115,0.212308
116,0.211947
117,0.210959
118,0.213454
119,0.210613
120,0.213825
121,0.215162
122,0.215322
123,0.215264
124,0.216053
125,0.215073
126,0.21618
127,0.215757
128,0.214999
129,0.212848
130,0.210598
131,0.207424
132,0.203364
133,0.2009
134,0.198093
135,0.194952
136,0.1895
137,0.185425
138,0.180487
139,0.176389
140,0.172762
141,0.170543
142,0.166949
143,0.163383
144,0.1603
145,0.156981
146,0.154622
147,0.152282
148,0.150806
149,0.14806
150,0.146143
151,0.145486
152,0.143893
153,0.142738
154,0.140902
155,0.14078
156,0.14009
157,0.141923
158,0.140806
159,0.14063
160,0.142094
161,0.142918
162,0.144168
163,0.145542
164,0.148383
165,0.150129
166,0.152814
167,0.155637
168,0.160555
169,0.162232
170,0.165488
171,0.168697
172,0.171171
173,0.173892
174,0.175524
175,0.177873
176,0.178463
177,0.179525
178,0.17813
179,0.178993
180,0.179212
181,0.176639
182,0.175071
183,0.171774
184,0.171349
185,0.169298
186,0.16649
187,0.165508
188,0.163278
189,0.16294
190,0.158921
191,0.159285
192,0.157969
193,0.157577
194,0.157796
195,0.156979
196,0.158409
197,0.157528
198,0.158488
199,0.159944
200,0.161285
201,0.162868
202,0.163426
203,0.165406
204,0.167117
205,0.169751
206,0.172098
207,0.174984
208,0.176269
209,0.178861
210,0.182136
211,0.186262
212,0.189355
213,0.190602
214,0.195766
215,0.199126
216,0.202758
217,0.209129
218,0.211664
219,0.217654
220,0.222299
221,0.227654
222,0.232085
223,0.237998
224,0.24439
225,0.251369
226,0.258071
227,0.26519
228,0.272871
229,0.283605
230,0.291483
231,0.301919
232,0.312395
233,0.3249
234,0.33853
235,0.353721
236,0.369924
237,0.387772
238,0.408228
239,0.430421
240,0.457447
241,0.483043
242,0.513334
243,0.545046
244,0.576377
245,0.609819
246,0.646747
247,0.6833
248,0.719278
249,0.751219
250,0.785713
