"Time","Signal"
0,0.071021
1,0.07168
2,0.071085
3,0.071161
4,0.071624
5,0.070825
6,0.070644
7,0.071606
8,0.071207
9,0.071202
10,0.07113
11,0.072645
12,0.070621
13,0.071563
14,0.070838
15,0.071543
16,0.07361
17,0.074442
18,0.078222
19,0.090597
20,0.103059
21,0.103603
22,0.105792
23,0.107373
24,0.110667
25,0.110723
26,0.111603
27,0.113932
28,0.114642
29,0.113696
30,0.113197
31,0.113566
32,0.115027
33,0.115574
34,0.116798
35,0.117671
36,0.119725
37,0.121917
38,0.124544
39,0.127649
40,0.131388
41,0.136591
42,0.141045
43,0.14665
44,0.152652
45,0.159794
46,0.167455
47,0.176679
48,0.185074
49,0.192063
50,0.203891
51,0.21452
52,0.225374
53,0.239996
54,0.253339
55,0.268313
56,0.284015
57,0.300928
58,0.32068
59,0.339322
60,0.35762
61,0.375867
62,0.396869
63,0.419041
64,0.4419
65,0.467628
66,0.490564
67,0.512441
68,0.536173
69,0.561586
70,0.58908
71,0.617208
72,0.641648
73,0.668181
74,0.69832
75,0.727845
76,0.759898
77,0.790241
78,0.818081
79,0.844782
80,0.871703
81,0.8923
82,0.907259
83,0.916511
84,0.911181
85,0.899045
86,0.876361
87,0.848956
88,0.816162
89,0.781019
90,0.742267
91,0.703006
92,0.664347
93,0.625208
94,0.586122
95,0.552471
96,0.52223
97,0.493038
98,0.463943
99,0.438599
100,0.413342
101,0.392109
102,0.375002
103,0.356454
104,0.339258
105,0.324742
106,0.309679
107,0.298755
108,0.289207
109,0.2794
110,0.271426
111,0.260723
112,0.253385
113,0.248037
114,0.243733
115,0.238762
116,0.234873
117,0.232343
118,0.228817
119,0.228764
120,0.227697
121,0.226957
122,0.227341
123,0.227904
124,0.228097
125,0.229036
126,0.231439
127,0.230823
128,0.23162
129,0.232332
130,0.230859
131,0.231047
132,0.229693
133,0.229342
134,0.226921
135,0.225829
136,0.221884
137,0.219804
138,0.216786
139,0.213095
140,0.210769
141,0.209269
142,0.206495
143,0.2041
144,0.201857
145,0.198918
146,0.19721
147,0.194891
148,0.19274
149,0.191088
150,0.19008
151,0.187507
152,0.185603
153,0.181523
154,0.179652
155,0.177817
156,0.177219
157,0.174801
158,0.174483
159,0.170884
160,0.170634
161,0.170565
162,0.168707
163,0.16748
164,0.167282
165,0.167941
166,0.167195
167,0.169295
168,0.170731
169,0.170983
170,0.17422
171,0.1763
172,0.179006
173,0.1808
174,0.184109
175,0.185949
176,0.186942
177,0.189131
178,0.189347
179,0.18896
180,0.187314
181,0.187622
182,0.185239
183,0.183195
184,0.180772
185,0.178082
186,0.175852
187,0.172171
188,0.168608
189,0.165055
190,0.162502
191,0.158641
192,0.157032
193,0.152802
194,0.150709
195,0.147052
196,0.145171
197,0.143323
198,0.141915
199,0.140966
200,0.139637
201,0.138866
202,0.138421
203,0.137863
204,0.137265
205,0.138029
206,0.138059
207,0.137275
208,0.138642
209,0.139683
210,0.13962
211,0.141411
212,0.142417
213,0.14332
214,0.14653
215,0.148477
216,0.148673
217,0.151361
218,0.154818
219,0.15605
220,0.160323
221,0.162616
222,0.165363
223,0.169104
224,0.17252
225,0.175068
226,0.179744
227,0.183093
228,0.188563
229,0.193934
230,0.198605
231,0.203889
232,0.209929
233,0.217279
234,0.224722
235,0.232292
236,0.242949
237,0.256319
238,0.268537
239,0.281963
240,0.302122
241,0.323062
242,0.343975
243,0.37178
244,0.398477
245,0.430276
246,0.464564
247,0.504008
248,0.539495
249,0.581152
250,0.619945
251,0.662981
252,0.706577
253,0.747011
254,0.782623
255,0.81841
256,0.846673
257,0.872963
258,0.893438
