"Time","Signal"
0,0.145588
1,0.144967
2,0.145334
3,0.146558
4,0.146874
5,0.146018
6,0.146484
7,0.146344
8,0.146614
9,0.145985
10,0.14597
11,0.146214
12,0.14568
13,0.145764
14,0.145654
15,0.145601
16,0.146879
17,0.146968
18,0.151226
19,0.166658
20,0.187398
21,0.195794
22,0.189973
23,0.184221
24,0.182824
25,0.185662
26,0.188377
27,0.188156
28,0.189034
29,0.187418
30,0.187619
31,0.187349
32,0.188433
33,0.187408
34,0.187362
35,0.186326
36,0.185529
37,0.187336
38,0.186158
39,0.186135
40,0.187268
41,0.187387
42,0.187555
43,0.189027
44,0.189984
45,0.188841
46,0.189357
47,0.191279
48,0.192055
49,0.191915
50,0.194573
51,0.195341
52,0.19624
53,0.198383
54,0.200827
55,0.202494
56,0.204706
57,0.207009
58,0.211624
59,0.214256
60,0.218827
61,0.224409
62,0.230317
63,0.238128
64,0.242791
65,0.251259
66,0.261736
67,0.270739
68,0.284684
69,0.298961
70,0.311486
71,0.322523
72,0.339599
73,0.358852
74,0.376791
75,0.397429
76,0.415602
77,0.434216
78,0.45285
79,0.46942
80,0.487046
81,0.501967
82,0.509661
83,0.513258
84,0.514368
85,0.513398
86,0.509496
87,0.503403
88,0.495474
89,0.483997
90,0.472671
91,0.464027
92,0.454431
93,0.443371
94,0.433305
95,0.426463
96,0.417519
97,0.411652
98,0.405655
99,0.401555
100,0.397602
101,0.396031
102,0.395344
103,0.39402
104,0.394728
105,0.397668
106,0.401231
107,0.407136
108,0.415271
109,0.421851
110,0.432836
111,0.446955
112,0.460496
113,0.477657
114,0.496021
115,0.517957
116,0.542812
117,0.570591
118,0.598806
119,0.629861
120,0.664546
121,0.703146
122,0.740243
123,0.778731
124,0.81503
125,0.847365
126,0.875183
127,0.899068
128,0.912332
129,0.91971
130,0.918056
131,0.909603
132,0.892654
133,0.870354
134,0.846765
135,0.818619
136,0.790717
137,0.759908
138,0.725259
139,0.696034
140,0.665877
141,0.63628
142,0.611158
143,0.585858
144,0.557417
145,0.533941
146,0.513678
147,0.495858
148,0.480357
149,0.464126
150,0.447854
151,0.435697
152,0.423913
153,0.414497
154,0.40496
155,0.396747
156,0.387525
157,0.379227
158,0.373488
159,0.367776
160,0.362482
161,0.360326
162,0.354433
163,0.352173
164,0.353504
165,0.353761
166,0.354645
167,0.358839
168,0.362477
169,0.369323
170,0.375794
171,0.384453
172,0.394168
173,0.402573
174,0.411662
175,0.421263
176,0.428331
177,0.43615
178,0.440238
179,0.444018
180,0.445489
181,0.445459
182,0.442178
183,0.437479
184,0.429464
185,0.42209
186,0.410562
187,0.398541
188,0.387342
189,0.374417
190,0.361038
191,0.348612
192,0.334941
193,0.322342
194,0.312306
195,0.29907
196,0.289693
197,0.281271
198,0.270861
199,0.262431
200,0.255439
201,0.249732
202,0.244219
203,0.240073
204,0.23361
205,0.229446
206,0.226145
207,0.224523
208,0.222744
209,0.221795
210,0.219781
211,0.218234
212,0.21803
213,0.217315
214,0.218725
215,0.218842
216,0.219051
217,0.221853
218,0.222673
219,0.224198
220,0.22712
221,0.228891
222,0.231136
223,0.235002
224,0.239279
225,0.242389
226,0.246884
227,0.251972
228,0.256806
229,0.261502
230,0.269446
231,0.274142
232,0.282129
233,0.290434
234,0.300562
235,0.311392
236,0.32599
237,0.340635
238,0.356042
239,0.376
240,0.396853
241,0.420861
242,0.449643
243,0.480289
244,0.512561
245,0.548365
246,0.588714
247,0.628871
248,0.674936
249,0.723472
250,0.769716
251,0.81999
252,0.868868
253,0.913195
254,0.960351
255,0.995123
